season,team,playerid,full_name,name,side,category,position,games,starts,years,av
2006,BUF,BoweMa20,Matt Bowen,M.Bowen,,,,5,0,6,0
2006,BUF,PresDu20,Duke Preston,D.Preston,O,OL,RG,16,8,1,4
2006,BUF,ButlBr20,Brad Butler,B.Butler,,,,2,0,0,0
2006,BUF,PricPe00,Peerless Price,P.Price,O,WR,WR,16,15,7,4
2006,BUF,CiesBr00,Brad Cieslak,B.Cieslak,O,TE,TE,7,2,1,0
2006,BUF,ReedJo01,Josh Reed,J.Reed,O,WR,WR,13,1,4,4
2006,BUF,ClemNa99,Nate Clements,N.Clements,D,DB,RCB,16,16,5,8
2006,BUF,ReyeTu20,Tutan Reyes,T.Reyes,O,OL,LG,6,6,5,3
2006,BUF,CrowAn20,Angelo Crowell,A.Crowell,D,LB,LB,12,12,3,6
2006,BUF,RoyaRo00,Robert Royal,R.Royal,O,TE,TE,16,15,3,2
2006,BUF,DaviAn01,Andre' Davis,A.Davis,O,WR,WR,16,1,4,0
2006,BUF,SchnMi20,Mike Schneck,M.Schneck,,,,16,0,7,1
2006,BUF,DennRy20,Ryan Denney,R.Denney,,,,16,0,4,3
2006,BUF,SchoAa99,Aaron Schobel,A.Schobel,D,DL,DE,16,16,5,13
2006,BUF,DiGiJo20,John DiGiorgio,J.DiGiorgio,,,,12,0,0,1
2006,BUF,ShelDa00,Daimon Shelton,D.Shelton,O,RB,FB,14,10,9,0
2006,BUF,ElliKe20,Keith Ellison,K.Ellison,D,LB,LB,14,7,0,4
2006,BUF,SimpKo20,Ko Simpson,K.Simpson,D,DB,FS,16,15,0,7
2006,BUF,EvanLe00,Lee Evans,L.Evans,O,WR,WR,16,15,2,11
2006,BUF,SpikTa00,Takeo Spikes,T.Spikes,D,LB,LB,12,11,8,5
2006,BUF,EverKe00,Kevin Everett,K.Everett,O,TE,TE,16,4,0,0
2006,BUF,StamJo20,Josh Stamer,J.Stamer,,,,6,0,3,0
2006,BUF,FletLo20,London Fletcher,L.Fletcher,D,LB,MLB,16,16,8,10
2006,BUF,ThomAn01,Anthony Thomas,A.Thomas,O,RB,RB,16,2,5,4
2006,BUF,FowlMe20,Melvin Fowler,M.Fowler,O,OL,C,16,16,4,7
2006,BUF,ThomKi20,Kiwaukee Thomas,K.Thomas,D,DB,CB,16,3,6,2
2006,CAR,HankKa00,Karl Hankton,K.Hankton,,,,16,0,8,0
2006,CAR,WallAl20,Al Wallace,A.Wallace,D,DL,DE,16,2,9,3
2006,CAR,HartJu20,Justin Hartwig,J.Hartwig,O,OL,C,2,1,4,0
2006,CAR,WeinCh00,Chris Weinke,C.Weinke,O,QB,QB,3,3,5,2
2006,CAR,HoovBr00,Brad Hoover,B.Hoover,O,RB,FB,16,12,6,1
2006,CAR,WharTr20,Travelle Wharton,T.Wharton,O,OL,LT,1,1,2,0
2006,CAR,HowaRe21,Reggie Howard,R.Howard,,,,6,0,6,0
2006,CAR,WillDe02,DeAngelo Williams,D.Williams,O,RB,RB,13,2,0,5
2006,CAR,JamiBr20,Brandon Jamison,B.Jamison,,,,4,0,0,0
2006,CAR,WillSh20,Shaun Williams,S.Williams,D,DB,SS,12,12,8,5
2006,CAR,JenkKr00,Kris Jenkins,K.Jenkins,D,DL,RDT,16,16,5,10
2006,CAR,JohnKe00,Keyshawn Johnson,K.Johnson,O,WR,WR,16,16,10,6
2006,CAR,kasayjoh01,John Kasay,J.Kasay,S,K,K,16,0,15,5
2006,CAR,KemoMa20,Ma'ake Kemoeatu,M.Kemoeatu,D,DL,LDT,16,13,4,6
2006,CAR,AndeJa21,James Anderson,J.Anderson,D,LB,LB,16,2,0,2
2006,CAR,KingJe00,Jeff King,J.King,,,,12,0,0,0
2006,CAR,BakeJa20,Jason Baker,J.Baker,S,P,P,16,0,5,3
2006,CAR,KyleJa20,Jason Kyle,J.Kyle,,,,16,0,11,1
2006,CAR,BasaBr00,Brett Basanez,B.Basanez,,,,1,0,0,0
2006,CAR,LewiDa20,Damione Lewis,D.Lewis,D,DL,LDT,16,3,5,3
2006,CAR,BiddTa00,Taye Biddle,T.Biddle,,,,2,0,0,0
2006,CAR,LucaKe20,Ken Lucas,K.Lucas,D,DB,RCB,13,12,5,5
2006,CAR,BranCo20,Colin Branch,C.Branch,D,DB,SS,16,4,3,3
2006,CAR,MangKr00,Kris Mangum,K.Mangum,O,TE,TE,15,5,9,1
2006,CAR,BridJe20,Jeremy Bridges,J.Bridges,O,OL,RT,14,14,2,6
2006,CAR,MarsRi20,Richard Marshall,R.Marshall,D,DB,RCB,16,8,0,6
2006,CAR,BrowTo25,Tony Brown,T.Brown,,,,1,0,2,0
2006,CAR,MathEv20,Evan Mathis,E.Mathis,O,OL,RG,15,15,1,6
2006,CAR,ByruDi20,Dion Byrum,D.Byrum,,,,3,0,0,0
2006,CAR,McCaKe20,Kevin McCadam,K.McCadam,,,,16,0,4,1
2006,CAR,CarsJo20,Jordan Carstens,J.Carstens,,,,1,0,2,0
2006,CAR,McClSt20,Stanley McClover,S.McClover,,,,2,0,0,0
2006,CAR,CartDr00,Drew Carter,D.Carter,O,WR,WR,14,2,1,3
2006,CAR,MintMi21,Mike Minter,M.Minter,D,DB,FS,16,16,9,7
2006,CAR,CiurVi20,Vinny Ciurciu,V.Ciurciu,,,,16,0,3,1
2006,CAR,MontWi20,Will Montgomery,W.Montgomery,O,OL,LG,6,4,0,2
2006,CAR,ColbKe00,Keary Colbert,K.Colbert,O,WR,WR,12,3,2,0
2006,CAR,MoorKi20,Kindal Moorehead,K.Moorehead,,,,16,0,3,1
2006,CAR,DaviRo21,Rod Davis,R.Davis,,,,1,0,2,0
2006,CAR,MorgDa99,Dan Morgan,D.Morgan,D,LB,MLB,1,1,5,0
2006,CAR,DaviTh20,Thomas Davis,T.Davis,D,LB,LB,14,14,1,7
2006,CAR,MortCh20,Christian Morton,C.Morton,D,DB,LCB,7,2,2,1
2006,CAR,DelhJa00,Jake Delhomme,J.Delhomme,O,QB,QB,13,13,7,7
2006,CAR,PeppJu99,Julius Peppers,J.Peppers,D,DL,DE,16,16,4,17
2006,CAR,DiggNa20,Na'il Diggs,N.Diggs,D,LB,LB,15,10,6,5
2006,CAR,RuckMi20,Mike Rucker,M.Rucker,D,DL,DE,14,14,7,7
2006,CAR,DrafCh20,Chris Draft,C.Draft,D,LB,MLB,16,16,8,9
2006,CAR,SallNa20,Nate Salley,N.Salley,,,,8,0,0,1
2006,CAR,FordTo20,Todd Fordham,T.Fordham,O,OL,RT,16,1,9,1
2006,CAR,SeidMi00,Mike Seidman,M.Seidman,O,TE,TE,3,3,3,0
2006,CAR,FostDe00,DeShaun Foster,D.Foster,O,RB,RB,14,14,3,6
2006,CAR,SewaAd20,Adam Seward,A.Seward,D,LB,LB,16,2,1,2
2006,CAR,GainMi00,Michael Gaines,M.Gaines,O,TE,TE,16,9,2,1
